TRAIN_DATA = [
    ('El vencimiento del crédito hipotecario será el diciembre de 2028.', {'entities': [(47, 64, 'DATE')]}),
    ('La entrega del inmueble será el 10 de febrero de 2026.', {'entities': [(32, 53, 'DATE')]}),
    ('Se establece como fecha límite el 15-08-2025.', {'entities': [(34, 44, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del mañana.', {'entities': [(46, 52, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del 15 de marzo de 2025.', {'entities': [(46, 65, 'DATE')]}),
    ('La entrega del inmueble será el 01/01/2026.', {'entities': [(32, 42, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el 28/02/2026.', {'entities': [(34, 44, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 1 de enero de 2024.', {'entities': [(47, 65, 'DATE')]}),
    ('La entrega del inmueble será el 30/09/2025.', {'entities': [(32, 42, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 31 de diciembre de 2027.', {'entities': [(47, 70, 'DATE')]}),
    ('La última inspección se hará el julio de 2026.', {'entities': [(32, 45, 'DATE')]}),
    ('El pago de la segunda cuota se realizará el 12 de agosto de 2025.', {'entities': [(44, 64, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 12 de agosto de 2025.', {'entities': [(47, 67, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del hoy.', {'entities': [(46, 49, 'DATE')]}),
    ('El pago inicial deberá realizarse el 01/01/2026.', {'entities': [(37, 47, 'DATE')]}),
    ('Se establece como fecha límite el hoy.', {'entities': [(34, 37, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el ayer.', {'entities': [(47, 51, 'DATE')]}),
    ('La última inspección se hará el diciembre de 2028.', {'entities': [(32, 49, 'DATE')]}),
    ('La última inspección se hará el 12 de agosto de 2025.', {'entities': [(32, 52, 'DATE')]}),
    ('La última inspección se hará el hoy.', {'entities': [(32, 35, 'DATE')]}),
    ('El pago inicial deberá realizarse el 10 de febrero de 2026.', {'entities': [(37, 58, 'DATE')]}),
    ('La entrega del inmueble será el 5 de abril de 2025.', {'entities': [(32, 50, 'DATE')]}),
    ('La última inspección se hará el 5 de abril de 2025.', {'entities': [(32, 50, 'DATE')]}),
    ('El pago de la segunda cuota se realizará el 15 de julio de 2025.', {'entities': [(44, 63, 'DATE')]}),
    ('El contrato tendrá vigencia hasta el hoy.', {'entities': [(37, 40, 'DATE')]}),
    ('El pago de la segunda cuota se realizará el 31 de diciembre de 2027.', {'entities': [(44, 67, 'DATE')]}),
    ('El contrato tendrá vigencia hasta el 12 de agosto de 2025.', {'entities': [(37, 57, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del julio de 2026.', {'entities': [(46, 59, 'DATE')]}),
    ('Se establece como fecha límite el ayer.', {'entities': [(34, 38, 'DATE')]}),
    ('Se establece como fecha límite el 20 de diciembre de 2025.', {'entities': [(34, 57, 'DATE')]}),
    ('El pago inicial deberá realizarse el 20 de diciembre de 2025.', {'entities': [(37, 60, 'DATE')]}),
    ('El pago inicial deberá realizarse el noviembre de 2025.', {'entities': [(37, 54, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del diciembre de 2028.', {'entities': [(46, 63, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el hoy.', {'entities': [(47, 50, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del 28/02/2026.', {'entities': [(46, 56, 'DATE')]}),
    ('La entrega del inmueble será el 5 de abril de 2025.', {'entities': [(32, 50, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el diciembre de 2028.', {'entities': [(34, 51, 'DATE')]}),
    ('El contrato se firma el 12 de agosto de 2025.', {'entities': [(24, 44, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el 15 de julio de 2025.', {'entities': [(34, 53, 'DATE')]}),
    ('El contrato tendrá vigencia hasta el 1 de enero de 2024.', {'entities': [(37, 55, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 20 de diciembre de 2025.', {'entities': [(47, 70, 'DATE')]}),
    ('La entrega del inmueble será el julio de 2026.', {'entities': [(32, 45, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el hoy.', {'entities': [(34, 37, 'DATE')]}),
    ('El pago inicial deberá realizarse el 30/09/2025.', {'entities': [(37, 47, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el ayer.', {'entities': [(34, 38, 'DATE')]}),
    ('Se establece como fecha límite el ayer.', {'entities': [(34, 38, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 31 de diciembre de 2027.', {'entities': [(47, 70, 'DATE')]}),
    ('La última inspección se hará el 1 de enero de 2024.', {'entities': [(32, 50, 'DATE')]}),
    ('El pago de la segunda cuota se realizará el 1 de enero de 2024.', {'entities': [(44, 62, 'DATE')]}),
    ('El contrato se firma el mañana.', {'entities': [(24, 30, 'DATE')]}),
    ('Se establece como fecha límite el ayer.', {'entities': [(34, 38, 'DATE')]}),
    ('El contrato tendrá vigencia hasta el 31 de diciembre de 2027.', {'entities': [(37, 60, 'DATE')]}),
    ('La entrega del inmueble será el ayer.', {'entities': [(32, 36, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 12 de agosto de 2025.', {'entities': [(47, 67, 'DATE')]}),
    ('La última inspección se hará el 15 de julio de 2025.', {'entities': [(32, 51, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 12 de agosto de 2025.', {'entities': [(47, 67, 'DATE')]}),
    ('El pago inicial deberá realizarse el julio de 2026.', {'entities': [(37, 50, 'DATE')]}),
    ('Se establece como fecha límite el 5 de abril de 2025.', {'entities': [(34, 52, 'DATE')]}),
    ('El contrato se firma el noviembre de 2025.', {'entities': [(24, 41, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el noviembre de 2025.', {'entities': [(47, 64, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del 01/01/2026.', {'entities': [(46, 56, 'DATE')]}),
    ('Ambas partes acuerdan reunirse el hoy.', {'entities': [(34, 37, 'DATE')]}),
    ('La última inspección se hará el 12 de agosto de 2025.', {'entities': [(32, 52, 'DATE')]}),
    ('El comprador cancelará la totalidad antes del julio de 2026.', {'entities': [(46, 59, 'DATE')]}),
    ('El contrato se firma el 12 de agosto de 2025.', {'entities': [(24, 44, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el 5 de abril de 2025.', {'entities': [(47, 65, 'DATE')]}),
    ('El vencimiento del crédito hipotecario será el mañana.', {'entities': [(47, 53, 'DATE')]}),
    ('La entrega del inmueble será el 1 de enero de 2024.', {'entities': [(32, 50, 'DATE')]}),
